,Proportional,Top-3 Long-Short
2017-07-26,-0.0009154027950162091,-0.004761945098659348
2017-07-27,0.0013662057431951956,0.002210588006354319
2017-07-28,0.002887667668910565,0.004859123560934319
2017-07-31,0.0012906549283919514,0.003053231953814573
2017-08-01,0.0009984850317152107,0.001689149177619864
2017-08-02,0.0007473928439490835,0.002107130650076209
2017-08-03,-0.0018710891197674952,-0.004394322272789575
2017-08-04,0.0003163570048226458,0.00284334570782178
2017-08-07,0.0012512128907297279,0.0003377449826056367
2017-08-08,-4.981870281631543e-05,-0.0013048214914686365
2017-08-09,-0.00300901070714977,-0.0020914323497498452
2017-08-10,-0.002071144418550877,-0.0026917737871737417
2017-08-11,0.009826021329084651,0.00250802890582702
2017-08-14,-0.0008507182100181346,-0.005193490378990195
2017-08-15,0.0033201556560121304,9.631840580034035e-05
2017-08-16,-0.0127733362896594,-0.0003614354266258113
2017-08-17,-0.0029992779601282944,-0.0018624804081229052
2017-08-18,0.001757519213696991,-0.004681274336276853
2017-08-21,0.009487395439533695,0.0073812047979728845
2017-08-22,-0.0027717079627107,-0.0026261931148567896
2017-08-23,-0.0017478428042861493,0.0033970274711319828
2017-08-24,0.0015926400926767545,-0.0003650904994766019
2017-08-25,-0.00023299581407858075,0.0030315122513664785
2017-08-28,0.001669118834161032,0.0056808104026713204
2017-08-29,0.0035907153971710256,0.004131841938057416
2017-08-30,0.00397064296191539,-0.0021063521584433107
2017-08-31,0.0023668342687946844,0.005272463395928018
2017-09-01,-0.003672456988476158,-0.007601445222763441
2017-09-05,0.0010405382727407696,0.0008847496384345822
2017-09-06,-0.00433194882172566,-0.012792135528004511
2017-09-07,-0.00045305981991549586,-0.001066668312445803
2017-09-08,0.00905620963459234,0.006301656109820363
2017-09-11,0.004751868002310951,0.015966113126520888
2017-09-12,0.0006010929891771899,0.0023778512836256645
2017-09-13,0.001201554932501747,0.0022991898261662445
2017-09-14,0.0006806337987744525,0.00266977274128799
2017-09-15,-0.0009661772638412934,0.0009004966345024226
2017-09-18,-7.107319915191642e-05,0.0001681467650260045
2017-09-19,0.0020889526974339906,0.00839402126663961
2017-09-20,0.000854264111236636,0.0025724778404491166
2017-09-21,0.0017101568964064378,0.0022201803879888793
2017-09-22,-0.0029914231430596765,-0.0009955552286939515
2017-09-25,0.0009429847422543442,-0.0005692135069702565
2017-09-26,0.006442398343137961,0.003588094006868954
2017-09-27,0.0019191187370739703,0.0017485583116796746
2017-09-28,0.0010514797640119938,0.0008632433015595873
2017-09-29,-0.0018264064554801807,-0.0008920440601049753
2017-10-02,-0.0004387651996296499,-0.002972510074015629
2017-10-03,0.0005016358157212376,0.003230797251776182
2017-10-04,0.0007623787247197498,-0.00030669560420985387
2017-10-05,0.0010511600784707583,-0.00047115092569890066
2017-10-06,0.0017459221056675845,0.0014288171019781377
2017-10-09,0.002496847333939315,0.005852141878476047
2017-10-10,0.0007641603729647888,0.0008315529846715242
2017-10-11,0.003269890339830248,0.009202305864109528
2017-10-12,-0.0021534762845716103,-0.002460961015991617
2017-10-13,0.0020142122165862694,0.001921542254417689
2017-10-16,-0.00017450926742148686,0.0005032264339866668
2017-10-17,0.0013257227522701775,0.0009984942587138632
2017-10-18,-0.0026030329639074594,-0.002913402842546449
2017-10-19,-0.004036781967656187,-0.00348306899586892
2017-10-20,0.002598115659151603,0.0035570985485373257
2017-10-23,0.0029074532804798697,0.0056261527975558865
2017-10-24,0.004046001924776379,0.003286454036655284
2017-10-25,-0.0011508725915575781,0.005210673224603187
2017-10-26,-0.004477958104924637,-0.00475368232207903
2017-10-27,-0.0009166495338489592,-0.004792568816841425
2017-10-30,0.00016390367181681972,-0.002599850731027087
2017-10-31,-0.0006770961335859099,0.000319058591604637
2017-11-01,0.0015858496770271271,-0.0010344042644437152
2017-11-02,-0.0019578419463886676,-0.0029390240354521353
2017-11-03,-0.003657746808775535,-0.010256779766753876
2017-11-06,0.0008437207374553644,0.0014444333470845505
2017-11-07,-0.00042729595693713257,0.0013210984160395938
2017-11-08,-0.002089681680301306,-0.0020909615445651912
2017-11-09,0.0014109673409711614,-0.0002836436040319539
2017-11-10,-0.0014431944852911006,-0.000709889374896133
2017-11-13,-0.00036971509952097415,0.0014983422014293035
2017-11-14,-0.0008960842519302214,0.0022457758577809264
2017-11-15,0.007304191132501173,0.008210621531119362
2017-11-16,-0.0030805811402675543,0.0008180830212097807
2017-11-17,0.0010526308096084444,0.0011057125569451007
2017-11-20,0.0014451591915728415,0.004084016667281828
2017-11-21,0.0008215684869228439,0.0029680337536393724
2017-11-22,0.0006986546560057437,-0.00012614155490172263
2017-11-24,-0.0006543447253272777,-0.0023933216277743177
2017-11-27,0.00132663333555194,-0.002622745959924844
2017-11-28,-0.005898940115914532,-0.01189970167951245
2017-11-29,0.0032518499343780114,0.0011088606088486641
2017-11-30,-0.0044725508893230115,-0.006876957325032425
2017-12-01,-0.004957711233278161,-0.003241446509703261
2017-12-04,-0.0017051368349566048,-0.001563504277422356
2017-12-05,0.0018750456023147542,4.085414055906341e-06
2017-12-06,0.0015114710775545976,0.0025893602654607126
2017-12-07,0.0021158830355547274,0.0020740973750864957
2017-12-08,0.002493695034695188,0.005906188512181646
2017-12-11,-0.0042547521954759025,-0.011903162922101324
2017-12-12,-0.002743091980837338,-0.005306528473585777
2017-12-13,0.004828482875127315,0.00869890008149791
2017-12-14,-0.003467227255317149,0.000646986834789365
2017-12-15,0.00222329584144551,-0.0008648807636807789
2017-12-18,-0.0016037123541753008,0.003182400040406671
2017-12-19,0.0031000239999451327,0.00496633673172564
2017-12-20,-0.0016328125061909745,-0.007208751407749162
2017-12-21,-0.00010964616818430413,-0.0010575470598244152
2017-12-22,-0.0015886934894477002,-0.005389396116537696
2017-12-26,0.002468399380065883,0.003388337243294274
2017-12-27,-0.0002560893153522256,0.0006055532145562423
2017-12-28,0.0001478380581506525,0.0019944514514172265
2017-12-29,-0.0029675288581993463,-0.0073398400959003105
2018-01-02,-0.004176942507202018,-0.008751472538904256
2018-01-03,0.004593795207290555,0.006212466820298264
2018-01-04,0.002662894915743747,0.005882719764371602
2018-01-05,-0.0002509265164935405,0.0015894449111239306
2018-01-08,-0.002776263524525997,-0.002834277012591424
2018-01-09,-0.004653340619180786,-0.008746190129576335
2018-01-10,-0.0017890200969207931,-0.009192480479459123
2018-01-11,0.0016578544756614016,0.003163782049034557
2018-01-12,0.0013302250519940484,0.0034775816828537254
2018-01-16,0.0030436540384217075,0.0016607633751828392
2018-01-17,-0.003115759536365813,-0.0045139457598560116
2018-01-18,0.003143855979465786,-0.0015297791904762548
2018-01-19,0.0037303304822485124,-0.00377407873059421
2018-01-22,0.005942310723524652,0.009131434692539964
2018-01-23,-0.003938720143144541,-0.005452383103483468
2018-01-24,0.005330690520241124,0.00606525953183897
2018-01-25,0.004806038614815248,-0.004718349397971
2018-01-26,0.0009505542876787138,0.0008855058829704644
2018-01-29,-0.005746536631504248,-0.001027427315007785
2018-01-30,-0.0012887120611438999,-0.007286170515030184
2018-01-31,-0.003610820359226531,-0.0020716371106756313
2018-02-01,-0.014875950964867017,0.003605727020521198
2018-02-02,-0.030926513534441476,0.009857646061590043
2018-02-05,0.01689150767105924,0.010199433582924187
2018-02-06,-0.004706002613803038,-0.00390507966366845
2018-02-07,-0.033665665661319163,-0.005955702286896644
2018-02-08,0.016017119717880716,0.002437822491856273
2018-02-09,0.013211538450396968,0.004648325287251565
2018-02-12,0.0028742796347456414,-0.002461076162603751
2018-02-13,0.005605510845334873,0.004135652556622108
2018-02-14,0.013809209247587417,0.002836480354319122
2018-02-15,0.0001299966515818829,-0.006914524732756962
2018-02-16,-0.004912368185436126,0.007703586706778103
2018-02-20,-0.0038778368305484342,0.008682032189963773
2018-02-21,0.002177897562117043,-0.006944454217618319
2018-02-22,0.012399591682183846,-0.0053523196175576295
2018-02-23,0.009281945150487263,0.0035138367192475424
2018-02-26,-0.011516046072591614,0.000500002563641873
2018-02-27,-0.004867987457979701,0.002318497774939903
2018-02-28,-0.006494861752016487,0.006110660196943247
2018-03-01,0.0009577703996566628,0.0005741332873189601
2018-03-02,0.008262428962749884,0.002287437118150419
2018-03-05,0.0003067727705618724,-0.004314231389135854
2018-03-06,-0.0033694164015104517,-0.0031176386810793932
2018-03-07,0.0050769036736580285,-0.0024438205831093605
2018-03-08,0.012665801470776113,-0.0055801543548489665
2018-03-09,0.0006650065138498523,0.006918938898075673
2018-03-12,-0.003856957489009996,-0.005891612551500132
2018-03-13,-0.006266176919730927,-0.010112491304276383
2018-03-14,-0.0004848785539899907,0.006187981708620448
2018-03-15,0.0018963026719103174,0.00032660082644238775
2018-03-16,-0.010655083207671482,0.002501039569251887
2018-03-19,0.00015374092819774027,-0.00128587744105176
2018-03-20,5.079328813511368e-05,0.0072406516629844875
2018-03-21,-0.02096436695956403,-0.014038379666368186
2018-03-22,-0.016103044704595365,-0.0002445603409831163
2018-03-23,0.024957704058589072,0.00786175370294484
2018-03-26,-0.013989341063719025,-0.010908404459739285
2018-03-27,-0.004034851578790166,-0.015360192821127586
2018-03-28,0.013594698184816751,0.011299158223974462
2018-03-29,-0.019581395340874864,-0.010511875741539372
2018-04-02,0.010233453849437163,0.0013096413693694702
2018-04-03,0.01100608502446616,0.0049381133738040095
2018-04-04,0.009066906859677542,0.006495415765007118
2018-04-05,-0.017449656167564345,-0.010365283220269417
2018-04-06,0.0024351355715889348,-0.002343961413235784
2018-04-09,0.01286252665002431,0.01648310076522641
2018-04-10,-0.004090187647134664,-0.003107566338143648
2018-04-11,0.005875799297745994,0.00835661184958251
2018-04-12,-0.0028356339980509923,-0.007243465437134278
2018-04-13,0.008400169548684559,0.002768757074477435
2018-04-16,0.01030454484857335,0.0024046721202225885
2018-04-17,0.0018811192177453407,0.007123288021168646
2018-04-18,-0.006001752296972977,0.0016747153555349825
2018-04-19,-0.0076110048554706025,-0.0023901745232113667
2018-04-20,-0.0008701829886735057,-0.0010518753816828688
2018-04-23,-0.010557290384303634,0.001106152434243908
2018-04-24,0.0017760864110571246,0.00122299551178943
2018-04-25,0.0042598938592101,-0.009022545333991456
2018-04-26,0.0019471212090377108,-0.003905298684669156
2018-04-27,-0.008067878920934425,0.0008007958102533854
2018-04-30,6.468682703667109e-05,-0.0006638483581652423
2018-05-01,-0.0056081123967829495,0.0002725414973021225
2018-05-02,0.001037382341825966,0.005543334207783227
2018-05-03,0.01129657252050266,0.00250492926243336
2018-05-04,-0.00021511819187622854,0.0005289683414979597
2018-05-07,0.0010230556265812811,0.004949101408027437
2018-05-08,0.0076164287154149145,0.0012499841077424996
2018-05-09,0.006723164476266811,-0.0023914457888270695
2018-05-10,0.0013693414348622595,-0.0031697519071723166
2018-05-11,-0.0012908040898438535,-0.0020142802803390833
2018-05-14,-0.004594011902099854,0.005354327844090918
2018-05-15,0.001162031145653102,-0.00033741392141339844
2018-05-16,-0.0017390344473465224,0.0005706866731803504
2018-05-17,-0.0014660625357207735,-0.0018237299654149108
2018-05-18,0.0022180364778639225,-0.0006985663974168339
2018-05-21,0.0012656217472690487,0.00867805197733007
2018-05-22,0.005481335910829187,0.006803041994470126
2018-05-23,0.002184185095187556,0.0033639192072612003
2018-05-24,0.0008887530599531025,0.0023489935817594767
2018-05-25,-0.0036954266358814533,-0.0016268263152982776
2018-05-29,-0.0004959158855089947,-0.00255849103188314
2018-05-30,-0.00553128249212031,-0.004098950634824275
2018-05-31,0.005243267943311991,0.005118321528954972
2018-06-01,0.0010985314192095749,-0.002459065730751571
2018-06-04,-0.00018707456234840804,0.0015542278281323778
2018-06-05,0.0060030335687777285,0.007242838835512207
2018-06-06,0.0006852329030578711,-0.0032379412669821432
2018-06-07,0.0013691960662844283,-0.0029993235503531133
2018-06-08,9.180198683578634e-05,0.0005573384746603294
2018-06-11,0.0019036390479730948,0.0016976002369247047
2018-06-12,-0.002903839138321104,0.0029651103634934506
2018-06-13,0.003406421056234463,-0.00015040581427220668
2018-06-14,0.0006312469878329524,0.0012962262805330524
2018-06-15,0.0002589246870663823,0.004922588428714958
2018-06-18,-0.003301491245700126,-0.006751147469195547
2018-06-19,-0.0004988592015799787,-0.0032485843449005327
2018-06-20,-0.002058419118643221,0.0002547835648210408
2018-06-21,0.0056819934818202866,0.002013078992164037
2018-06-22,-0.003951058922483895,0.006150441583610962
2018-06-25,0.0015538295598100172,0.004266368878606245
2018-06-26,-0.005087898645224019,-0.002033710930153032
2018-06-27,0.003142047049835066,0.0005114302887615119
2018-06-28,0.0002071925741533959,-0.001716193710223616
2018-06-29,0.001988584571071386,0.0034453142912507597
2018-07-02,-0.002808944731054262,-0.005066873183024788
2018-07-03,0.005164055724889968,-0.0047918107141776325
2018-07-05,0.006471999721933054,0.0004408373627264135
2018-07-06,0.005903731972237546,0.00946942523686293
2018-07-09,0.0031135747323826936,-0.00032261745572555623
2018-07-10,-0.0009296622478305772,0.004176744138455035
2018-07-11,0.0026542502994135755,-0.0009332340844012681
2018-07-12,0.0013312249902176704,0.0024828025094627924
2018-07-13,-0.001585891612124903,-0.0018011859681147007
2018-07-16,0.005608196073868711,0.00602916488318909
2018-07-17,-0.0017546892480980979,-2.492896939802015e-06
2018-07-18,0.0014234525354663364,0.0011962887814146448
2018-07-19,-0.002315766661454997,-0.0010727657174564027
2018-07-20,-3.5567669770107716e-05,0.0009957295354561242
2018-07-23,0.006022882214857941,0.006880974118224266
2018-07-24,-0.0002503264727213984,0.0026318446876629023
2018-07-25,0.003394315898316928,0.0061052969515090014
2018-07-26,-0.0034941283254045687,-0.0025808028128954104
2018-07-27,-0.004737053334331192,-0.006927552347168167
2018-07-30,-0.0002232209393542795,0.007085060471937725
2018-07-31,0.00486126281213068,0.0070497254238616565
2018-08-01,0.0021197733883914897,-0.0006729322781636733
2018-08-02,-0.0008391696317949849,-0.0006456933145685029
2018-08-03,0.0008207610609177627,0.0013799731047612709
2018-08-06,-0.0025364849121294305,-0.005756199876314778
2018-08-07,0.0007300573227415595,-0.0008453519862678947
2018-08-08,0.0002999263860517524,0.0034158360987311216
2018-08-09,0.006631434775010834,0.0051898081118740835
2018-08-10,0.0016566647532806783,0.0011177774463621746
2018-08-13,-0.0026836266739011442,-0.000315922762355628
2018-08-14,0.003762295648406795,0.0023682037479736033
2018-08-15,0.0005297751987254869,0.004181549589690709
2018-08-16,0.0015809246508958253,-0.0028619850961505806
2018-08-17,0.004578122099314436,0.00577143493100063
2018-08-20,0.002090551609660745,0.002571652660487719
2018-08-21,0.003545201083784946,0.005863979600857346
2018-08-22,-0.00030134873620266513,-0.0004376217683764726
2018-08-23,0.001513719334667337,0.0031924697225187417
2018-08-24,0.007919358341304462,0.012757829074128849
2018-08-27,-0.0022500565241136907,-0.004533945732138907
2018-08-28,3.643263285077925e-05,0.0037251719433868758
2018-08-29,-0.004679470361319443,-0.004440597479615968
