Date,SPY,XLB,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2017-02-07,197.15444946289062,21.349660873413086,19.753494262695312,54.35673904418945,23.11505889892578,41.18631362915039,22.320953369140625,18.151288986206055,61.03995895385742,38.29450225830078
2017-02-08,197.412841796875,21.39937400817871,19.619285583496094,54.28007507324219,23.155914306640625,41.3568115234375,22.51011085510254,18.329387664794922,60.94613265991211,38.53110885620117
2017-02-09,198.58395385742188,21.39109230041504,19.88770294189453,54.697425842285156,23.228546142578125,41.52733612060547,22.604692459106445,18.173547744750977,61.16788864135742,38.77226638793945
2017-02-10,199.3676300048828,21.5858154296875,19.946413040161133,55.13180160522461,23.296632766723633,41.55833435058594,22.757478713989258,18.28858184814453,61.28727340698242,39.008880615234375
2017-02-13,200.45269775390625,21.763980865478516,20.17288589477539,55.6854133605957,23.40104103088379,41.55833435058594,22.866613388061523,18.377622604370117,61.66255187988281,39.054386138916016
2017-02-14,201.25355529785156,21.75982666015625,20.407747268676758,55.71096420288086,23.478219985961914,41.56608963012695,22.750205993652344,18.244050979614258,62.148685455322266,39.27733612060547
2017-02-15,202.30421447753906,21.7308292388916,20.567123413085938,56.00905990600586,23.55538558959961,41.945865631103516,22.68472671508789,18.19953155517578,62.822444915771484,39.48210144042969
2017-02-16,202.1319580078125,21.7308292388916,20.516794204711914,56.02609634399414,23.609865188598633,42.00011444091797,22.779308319091797,18.381336212158203,62.73715591430664,39.28187942504883
2017-02-17,202.4506072998047,21.668682098388672,20.525178909301758,56.119781494140625,23.691577911376953,42.209381103515625,22.84478187561035,18.392467498779297,62.822444915771484,39.40929412841797
2017-02-21,203.6562042236328,21.73912239074707,20.625835418701172,56.400856018066406,23.814138412475586,42.589149475097656,23.15762710571289,18.58540916442871,63.1038703918457,39.636810302734375
2017-02-22,203.47535705566406,21.79712677001953,20.64261245727539,56.2475471496582,23.841373443603516,42.596900939941406,23.0703182220459,18.663331985473633,63.010066986083984,39.636810302734375
2017-02-23,203.61318969726562,21.676965713500977,20.64261245727539,55.881309509277344,23.83683967590332,42.69767379760742,23.223100662231445,18.85626792907715,63.470638275146484,39.36834716796875
2017-02-24,203.87152099609375,21.722543716430664,20.48323631286621,56.119781494140625,23.891311645507812,42.84492111206055,23.33951759338379,19.141971588134766,63.77767562866211,39.55036163330078
2017-02-27,204.19015502929688,21.668682098388672,20.5922794342041,56.32419967651367,23.87769317626953,42.65115737915039,23.455921173095703,19.03436851501465,64.08468627929688,39.59584426879883
2017-02-28,203.6389923095703,21.647966384887695,20.583898544311523,56.094234466552734,23.764205932617188,42.70540237426758,23.383163452148438,19.208755493164062,63.95676803588867,39.30010223388672
2017-03-01,206.4894256591797,22.07056427001953,21.171045303344727,57.03965759277344,24.100128173828125,42.90692901611328,23.324960708618164,19.0380802154541,64.596435546875,39.741458892822266
2017-03-02,205.18905639648438,21.834409713745117,20.84391975402832,56.426414489746094,23.94124984741211,42.899173736572266,23.25220489501953,19.175363540649414,64.39173126220703,39.645912170410156
2017-03-03,205.31825256347656,21.81783676147461,20.944578170776367,56.48603439331055,23.995716094970703,42.73640823364258,23.179445266723633,19.115999221801758,64.6476058959961,39.586761474609375
2017-03-06,204.70687866210938,21.676965713500977,20.785205841064453,56.349754333496094,23.959400177001953,42.55040740966797,23.084875106811523,19.078889846801758,64.40025329589844,39.459346771240234
2017-03-07,204.0954132080078,21.556825637817383,20.72649383544922,56.187931060791016,23.959400177001953,42.49614334106445,23.004833221435547,19.06777000427246,63.948246002197266,39.331939697265625
2017-03-08,203.71646118164062,21.556825637817383,20.734878540039062,55.99203872680664,23.986637115478516,42.40314483642578,22.66289520263672,18.793197631835938,64.20409393310547,39.495758056640625
2017-03-09,203.97483825683594,21.490528106689453,20.81036949157715,55.736534118652344,23.982099533081055,42.47289276123047,22.37188148498535,18.75237274169922,64.55379486083984,39.459346771240234
2017-03-10,204.68963623046875,21.5899658203125,20.793594360351562,56.077178955078125,24.109209060668945,42.666656494140625,22.350053787231445,18.908205032348633,64.80110931396484,39.518497467041016
2017-03-13,204.79295349121094,21.652114868164062,20.84391975402832,56.04313659667969,24.131906509399414,42.69767379760742,22.379159927368164,18.9638671875,64.74992370605469,39.62315368652344
2017-03-14,204.00927734375,21.465669631958008,20.785205841064453,55.51506042480469,24.077430725097656,42.57365798950195,22.350053787231445,18.945316314697266,64.51113891601562,39.61405563354492
2017-03-15,205.77468872070312,21.809553146362305,20.751651763916016,56.14533996582031,24.240848541259766,42.89142990112305,22.779308319091797,19.249570846557617,65.32137298583984,39.8233642578125
2017-03-16,205.3699188232422,21.660400390625,20.785205841064453,55.88981628417969,24.254470825195312,42.953426361083984,22.72837257385254,19.0380802154541,64.69021606445312,39.81881332397461
2017-03-17,205.00927734375,21.75349235534668,20.581497192382812,56.195274353027344,24.30687713623047,42.83655548095703,22.770837783813477,19.152851104736328,64.33417510986328,39.86948776245117
2017-03-20,204.784423828125,21.874027252197266,20.41314125061035,56.09259796142578,24.329660415649414,42.92226791381836,22.792802810668945,19.025739669799805,64.23999786376953,39.773651123046875
2017-03-21,202.15504455566406,21.50827980041504,19.84073257446289,55.236995697021484,23.974220275878906,42.88330841064453,22.75619888305664,19.294918060302734,63.7349853515625,39.27162170410156
2017-03-22,202.63076782226562,21.570627212524414,19.79864501953125,55.43379592895508,24.124597549438477,42.797603607177734,22.807453155517578,19.388383865356445,63.75210189819336,39.3172607421875
2017-03-23,202.41456604003906,21.662059783935547,19.84073257446289,55.35678482055664,24.060802459716797,42.704097747802734,22.97585105895996,19.328569412231445,63.555233001708984,39.408531188964844
2017-03-24,202.26756286621094,21.470874786376953,19.815479278564453,55.211341857910156,24.07902717590332,42.618408203125,22.95388412475586,19.399600982666016,63.58946990966797,39.50437927246094
2017-03-27,202.05990600585938,21.51659393310547,19.739715576171875,55.014549255371094,24.07902717590332,42.57945251464844,22.770837783813477,19.324827194213867,63.76068878173828,39.490684509277344
2017-03-28,203.53024291992188,21.765960693359375,20.00908088684082,55.59636306762695,24.252193450927734,42.65736389160156,22.902633666992188,19.30987548828125,63.803466796875,39.79188919067383
2017-03-29,203.72055053710938,21.78258514404297,19.882822036743164,55.58781051635742,24.293201446533203,42.73527908325195,22.983171463012695,19.25753402709961,63.82053756713867,40.02920150756836
2017-03-30,204.36915588378906,21.786745071411133,20.143766403198242,55.89582443237305,24.338777542114258,42.64957809448242,23.034425735473633,19.10799217224121,63.82916259765625,40.13418197631836
2017-03-31,203.8935089111328,21.78258514404297,19.975419998168945,55.66481018066406,24.293201446533203,42.52490997314453,23.136932373046875,19.182762145996094,63.649391174316406,40.13875198364258
2017-04-03,203.53892517089844,21.699460983276367,19.93332862854004,55.545021057128906,24.27042007446289,42.454776763916016,23.16621971130371,19.17902183532715,63.700740814208984,39.97901153564453
2017-04-04,203.6686553955078,21.77842903137207,19.908071517944336,55.690467834472656,24.28864097595215,42.57945251464844,23.100322723388672,19.23883819580078,63.66651153564453,39.91511535644531
2017-04-05,203.0631866455078,21.761810302734375,19.756553649902344,55.51079559326172,24.188398361206055,42.50153732299805,23.136932373046875,19.347261428833008,63.469608306884766,39.81927490234375
2017-04-06,203.6340789794922,21.8781795501709,19.882822036743164,55.66481018066406,24.192951202392578,42.50153732299805,23.26872444152832,19.298654556274414,63.580909729003906,39.942481994628906
2017-04-07,203.4264678955078,21.857398986816406,19.79864501953125,55.72469711303711,24.179288864135742,42.618408203125,23.29801368713379,19.21640968322754,63.69218063354492,39.823829650878906
2017-04-10,203.5475616455078,21.861557006835938,19.748130798339844,55.861595153808594,24.133703231811523,42.74307632446289,23.459091186523438,19.250059127807617,63.57235336303711,39.96988296508789
2017-04-11,203.3053741455078,21.803369522094727,19.689210891723633,55.93858337402344,24.042564392089844,42.758644104003906,23.568920135498047,19.242582321166992,63.48676681518555,39.93792724609375
2017-04-12,202.41456604003906,21.533220291137695,19.52927017211914,55.16856384277344,23.96055030822754,42.92226791381836,23.53230857849121,19.3846435546875,63.48676681518555,39.778194427490234
2017-04-13,201.09991455078125,21.32541847229004,19.276735305786133,54.77499008178711,23.864849090576172,42.72747802734375,23.48105812072754,19.321094512939453,63.324134826660156,39.499813079833984
2017-04-17,202.8816375732422,21.479185104370117,19.61345100402832,55.3739013671875,24.083581924438477,43.031341552734375,23.7519588470459,19.407072067260742,63.555233001708984,39.90599060058594
2017-04-18,202.27613830566406,21.454252243041992,19.428253173828125,55.194244384765625,24.07902717590332,43.22612762451172,23.810535430908203,19.451940536499023,62.861900329589844,39.910545349121094
2017-04-19,201.90426635742188,21.48334312438965,19.369335174560547,55.24555206298828,24.060802459716797,43.062496185302734,23.759286880493164,19.317354202270508,63.050209045410156,39.94706726074219
2017-04-20,203.5475616455078,21.720251083374023,19.697629928588867,55.912933349609375,24.279537200927734,42.976802825927734,23.7519588470459,19.242582321166992,63.443965911865234,40.36692810058594
2017-04-21,202.8988800048828,21.695310592651367,19.4955997467041,55.964263916015625,24.22940444946289,42.852142333984375,23.671424865722656,19.339784622192383,63.067344665527344,40.2756462097168
2017-04-24,205.13034057617188,21.944683074951172,19.93332862854004,56.75996398925781,24.51650047302246,43.2417106628418,23.437122344970703,19.44072723388672,63.69218063354492,40.53578567504883
2017-04-25,206.32391357421875,22.297956466674805,20.11009979248047,57.03375244140625,24.64409637451172,43.41312789916992,23.488384246826172,19.4145565032959,63.96610641479492,40.855262756347656
2017-04-26,206.19422912597656,22.293798446655273,20.093263626098633,57.04230499267578,24.616748809814453,43.062496185302734,23.29069709777832,19.35474395751953,64.3170394897461,41.04694747924805
2017-04-27,206.36720275878906,22.243927001953125,20.000667572021484,57.02519989013672,24.717004776000977,43.00796127319336,23.30533218383789,19.422027587890625,64.45398712158203,41.2659912109375
2017-04-28,205.91741943359375,22.056894302368164,19.80706024169922,56.75996398925781,24.780797958374023,42.99238204956055,23.17353630065918,19.328569412231445,64.62519073486328,41.101707458496094
2017-05-01,206.43634033203125,22.069366455078125,19.93332862854004,56.58881378173828,24.967636108398438,42.82878112792969,23.319978713989258,19.212669372558594,64.77069091796875,41.156471252441406
2017-05-02,206.5142364501953,22.106769561767578,19.908071517944336,56.862613677978516,25.022315979003906,42.54048538208008,23.327293395996094,19.2351016998291,64.95046997070312,41.20210266113281
2017-05-03,206.26336669921875,21.890649795532227,20.068012237548828,56.90541076660156,24.97675132751465,42.57945251464844,23.041748046875,19.167802810668945,64.63372802734375,40.96022415161133
2017-05-04,206.5055389404297,21.91558837890625,20.1016788482666,56.965301513671875,24.95852279663086,42.906681060791016,23.063718795776367,19.2351016998291,65.06173706054688,40.89632797241211
2017-05-05,207.3185272216797,22.2273006439209,20.068012237548828,57.25618362426758,25.049659729003906,43.02355194091797,23.24675750732422,19.339784622192383,65.02750396728516,41.15190887451172
2017-05-08,207.28396606445312,22.048582077026367,20.051172256469727,57.10218811035156,25.159032821655273,43.00796127319336,23.12228775024414,19.332307815551758,64.62519073486328,41.229488372802734
2017-05-09,207.09368896484375,21.882339477539062,19.975419998168945,57.17919921875,25.190929412841797,42.852142333984375,23.034425735473633,19.190242767333984,64.70220947265625,41.46681594848633
2017-05-10,207.465576171875,21.952985763549805,20.04275131225586,57.05941390991211,25.28662872314453,42.88330841064453,23.15889549255371,19.220149993896484,64.5138931274414,41.32533264160156
2017-05-11,207.04180908203125,21.91974639892578,19.91648292541504,57.04230499267578,25.254724502563477,42.94564437866211,23.049068450927734,19.246318817138672,64.54812622070312,41.078887939453125
2017-05-12,206.69580078125,21.8657169342041,19.83231544494629,56.725746154785156,25.318527221679688,42.82097244262695,22.961206436157227,19.339784622192383,64.43685913085938,41.019554138183594
2017-05-15,207.83750915527344,22.056894302368164,19.983827590942383,56.990962982177734,25.459793090820312,42.961219787597656,23.063718795776367,19.422027587890625,64.8563003540039,41.0286865234375
