Sector,R2,Accuracy,AUC,RMSE,MAE,Directional_Sharpe
XLK,-2.3342,0.5783,0.5106,0.011724,0.008104,2.1012
XLF,-2.1193,0.5537,0.5419,0.010861,0.006947,1.3701
XLV,-1.2008,0.5532,0.5312,0.006796,0.004977,1.6336
XLP,-2.0031,0.5603,0.5461,0.006682,0.00444,0.8465
XLI,-2.2037,0.5376,0.4796,0.010177,0.006521,0.4324
XLB,-1.9314,0.5381,0.5124,0.010069,0.006775,0.8719
XLU,-1.3269,0.5234,0.5132,0.007955,0.005288,0.3981
XLRE,-1.4871,0.5338,0.5299,0.009131,0.006215,0.4643
XLY,-1.937,0.5366,0.5056,0.010893,0.007402,0.5507
